classification,red,blue,green,black,golden,brown,Cyan,purple,white,Pink,Pink,watermelon,watermelon,tangerine,orange,grapefruit,Banana,Cherry,pitaya,pineapple,Sugar cane,Peach,Chestnut,plum,Loquat,Wax gourd,eggplant,Pepper
2,732.06,185.955,0.0009,0.071,0.0909,14.5,0.7352,0.232,0.4814,1.4777,0.1224,0.9461,16.3722,0.1462,18.2572,60.0432,569.3865,103.8462,3214.2857,16.7012,4.0385,128089,0.3514,206.3043,111.6733,0.0065,207.5972,0.2385
2,680.61,174.195,0.0001,0.0438,0.0623,13.7,0.726,0.1521,0.399,1.6342,0.154,0.9323,16.8083,0.0206,18.1413,80.9327,41.347,82.7586,2068.9655,16.7996,4.3448,113831,0.4224,214.0909,153.5593,0.0102,217.9629,0.229
2,694.575,177.87,0.0001,0.0156,0.0294,14.3,0.4451,0.0674,0.4598,1.4835,0.1274,0.9402,17.5092,0.0187,17.4381,32.6276,717.1145,190,3750,17.3368,4.7,108055,0.3357,185.2857,126.1525,0.004,190.7812,0.2477
2,721.77,213.885,0.0002,0.0268,0.0378,14.7,0.4972,0.0793,0.5038,1.4407,0.1301,0.9457,20.6602,0.0374,23.3589,20.7213,938.3345,281.8182,4285.7143,17.1697,4.6364,129784.5,0.363,209.1679,125.6633,0.0273,184.7022,0.2486
2,693.105,144.06,0.0004,0.0348,0.0527,12.7,0.574,0.0944,0.6252,1.105,0.0887,0.9589,12.3332,0.0491,17.5915,23.5782,822.1162,436.3636,2400,17.1281,5.4545,80103,0.3929,168.2222,140.0909,0.0027,222.4313,0.1475
2,518.175,178.605,0.0003,0.0766,0.0942,12.2,0.7036,0.2075,0.4379,1.5115,0.1288,0.9406,15.7006,0.0637,29.0826,103.7357,877.3118,203.5714,1304.3478,16.3672,3.75,101566.5,0.2947,202.8846,136.396,0.0168,201.5359,0.296
2,701.19,138.18,0.0015,0.0103,0.0354,12.3,0.3809,0.0389,0.5789,1.2321,0.0891,0.959,14.8266,0.1997,15.842,71.6244,558.0125,171.4286,4500,17.6011,3.4286,96047.5,0.2552,205.7273,137.4911,0.0068,202.2667,0.2952
2,629.16,237.405,0.0002,0.0045,0.0155,13.4,0.2536,0.0109,0.4615,1.5783,0.1349,0.9397,29.4844,0.0445,31.5137,72.8775,125.4351,332.1429,2222.2222,17.9935,5.6786,171526,0.3548,211.6364,121.5135,0.007,196.8141,0.2508
2,662.235,181.545,0.0003,0.0502,0.0651,18.6,0.6285,0.1169,0.5159,1.4232,0.1222,0.9466,15.7731,0.0544,18.0776,80.9793,1005.0478,136.3636,0,16.4609,6.5455,113297,0.2649,200,152.8214,0.0026,215.8128,0.2388
2,646.065,185.22,0,0.1998,0.2179,20.5,0.7145,0.4686,0.3806,1.64,0.1447,0.9312,15.1281,0.0077,19.0116,128.4915,484.9407,40.9091,3600,15.9627,3.4091,117587,0.2638,221.1111,104.2381,0.0042,186.343,0.3242
